1|Nirmit|18|25|42|13|19|35|19|29|48|10|15|25|13|23|27
2|Shudansu|15|23|46|14|26|44|17|24|43|11|17|34|18|21|40
3|Nitish|12|20|32|14|20|32|16|20|32|18|20|32|20|20|32
4|Mandar|14|21|49|20|22|43|13|18|39|19|29|49|19|21|23
5|Ashish|10|26|46|16|19|40|13|26|48|11|22|44|11|12|43
6|Pratham|16|21|41|9|12|23|15|25|45|12|23|43|14|24|34
7|Anurag|15|25|45|13|20|37|14|23|41|8|13|34|10|19|45
8|Chinmayee|14|23|49|12|23|34|10|9|35|14|29|49|9|7|41
9|Nikita|19|29|43|6|21|43|14|25|49|6|21|46|20|30|21
10|Pratik|16|20|29|17|27|37|9|19|47|13|29|47|11|23|44
11|Shrenik|18|25|42|13|19|35|19|29|48|10|15|25|13|23|27
12|Ankita|15|23|46|14|26|44|17|24|43|11|17|34|18|21|40
13|Anmol|12|20|32|14|20|32|16|20|32|18|20|32|20|20|32
14|Rahuk|14|21|49|20|22|43|13|18|39|19|29|49|19|21|23
15|Mayuresh|10|26|46|16|19|40|13|26|48|11|22|44|11|12|43
16|Ayush|16|21|41|9|12|23|15|25|45|12|23|43|14|24|34
17|Balaji|15|25|45|13|20|37|14|23|41|8|13|34|10|19|45
18|Ayush|14|23|49|12|23|34|10|9|35|14|29|49|9|7|41
19|Dnyneshwari|19|29|43|6|21|43|14|25|49|6|21|46|20|30|21
20|Adwait|16|20|29|17|27|37|9|19|47|13|29|47|11|23|44
21|Yash|18|25|42|13|19|35|19|29|48|10|15|25|13|23|27
22|Trupti|15|23|46|14|26|44|17|24|43|11|17|34|18|21|40
23|Padhmanaman|12|20|32|14|20|32|16|20|32|18|20|32|20|20|32
24|Harshad|14|21|49|20|22|43|13|18|39|19|29|49|19|21|23
25|Shatayu|10|26|46|16|19|40|13|26|48|11|22|44|11|12|43
26|Aditi|16|21|41|9|12|23|15|25|45|12|23|43|14|24|34
27|Vibhav|15|25|45|13|20|37|14|23|41|8|13|34|10|19|45
28|Riddhi|14|23|49|12|23|34|10|9|35|14|29|49|9|7|41
29|Harshali|19|29|43|6|21|43|14|25|49|6|21|46|20|30|21
30|Vaishnavi|16|20|29|17|27|37|9|19|47|13|29|47|11|23|44
31|Dnayneshwar|18|25|42|13|19|35|19|29|48|10|15|25|13|23|27
32|Rajeshwari|15|23|46|14|26|44|17|24|43|11|17|34|18|21|40
33|Daulatrao|12|20|32|14|20|32|16|20|32|18|20|32|20|20|32
34|Sumit|14|21|49|20|22|43|13|18|39|19|29|49|19|21|23
35|Saurabh|10|26|46|16|19|40|13|26|48|11|22|44|11|12|43
36|Abhishake|16|21|41|9|12|23|15|25|45|12|23|43|14|24|34
37|Mohit|15|25|45|13|20|37|14|23|41|8|13|34|10|19|45
38|Prasanna|14|23|49|12|23|34|10|9|35|14|29|49|9|7|41
39|Prajakta|19|29|43|6|21|43|14|25|49|6|21|46|20|30|21
40|OM|16|20|29|17|27|37|9|19|47|13|29|47|11|23|44
41|Shivprasad|18|25|42|13|19|35|19|29|48|10|15|25|13|23|27
42|Suyog|15|23|46|14|26|44|17|24|43|11|17|34|18|21|40
43|Aditi|12|20|32|14|20|32|16|20|32|18|20|32|20|20|32
44|Vedant|14|21|49|20|22|43|13|18|39|19|29|49|19|21|23
45|Priayanka|10|26|46|16|19|40|13|26|48|11|22|44|11|12|43
46|Hrushikesh|16|21|41|9|12|23|15|25|45|12|23|43|14|24|34
47|Shubham|15|25|45|13|20|37|14|23|41|8|13|34|10|19|45
48|Harshal|14|23|49|12|23|34|10|9|35|14|29|49|9|7|41
49|Pratap|19|29|43|6|21|43|14|25|49|6|21|46|20|30|21
